"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1","updateBookingWithNullMandatoryFields()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithNullMandatoryFields"
"","1","updateBookingWithMissingMandatoryFields()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithMissingMandatoryFields"
"","3","findRecordByBookingId()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","findRecordByBookingId"
"","1","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1","removeBookingWithoutToken()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","removeBookingWithoutToken"
"","2","updateBookingNonExistingId()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingNonExistingId"
"","2","verifyBookingCreated()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","verifyBookingCreated"
"","3","updateBooking()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","updateBooking"
"","2","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken"
"","1","partiallyUpdateBooking()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","partiallyUpdateBooking"
"","1","updateBookingWithoutToken()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithoutToken"
"","1","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","12","bookingSuccessfullyRemoved()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","bookingSuccessfullyRemoved"
"","1","createBookingWithMissingFields()","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","createBookingWithMissingFields"
"","1","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 06:44:38 UTC 2026","broken","Mon Feb 23 06:44:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
