"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1720","bookingSuccessfullyRemoved()","","Mon Feb 23 07:18:30 UTC 2026","passed","Mon Feb 23 07:18:32 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","bookingSuccessfullyRemoved"
"","1045","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:18:40 UTC 2026","passed","Mon Feb 23 07:18:42 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","701","verifyBookingCreated()","","Mon Feb 23 07:18:36 UTC 2026","passed","Mon Feb 23 07:18:37 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","verifyBookingCreated"
"","1048","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:18:39 UTC 2026","passed","Mon Feb 23 07:18:40 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1056","updateBookingWithNullMandatoryFields()","","Mon Feb 23 07:18:45 UTC 2026","passed","Mon Feb 23 07:18:46 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithNullMandatoryFields"
"","1047","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:18:38 UTC 2026","passed","Mon Feb 23 07:18:39 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1431","removeBookingWithoutToken()","","Mon Feb 23 07:18:46 UTC 2026","passed","Mon Feb 23 07:18:48 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","removeBookingWithoutToken"
"","1053","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:18:37 UTC 2026","passed","Mon Feb 23 07:18:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","0","createBookingWithMissingFields()","","Mon Feb 23 07:18:43 UTC 2026","skipped","Mon Feb 23 07:18:43 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","createBookingWithMissingFields"
"","1059","updateBookingWithMissingMandatoryFields()","","Mon Feb 23 07:18:43 UTC 2026","passed","Mon Feb 23 07:18:44 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithMissingMandatoryFields"
"","347","updateBookingNonExistingId()","","Mon Feb 23 07:18:48 UTC 2026","passed","Mon Feb 23 07:18:48 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingNonExistingId"
"","1435","partiallyUpdateBooking()","","Mon Feb 23 07:18:35 UTC 2026","passed","Mon Feb 23 07:18:36 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","partiallyUpdateBooking"
"","1435","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken()","","Mon Feb 23 07:18:44 UTC 2026","passed","Mon Feb 23 07:18:45 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken"
"","1054","updateBookingWithoutToken()","","Mon Feb 23 07:18:42 UTC 2026","passed","Mon Feb 23 07:18:43 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithoutToken"
"","1113","findRecordByBookingId()","","Mon Feb 23 07:18:34 UTC 2026","passed","Mon Feb 23 07:18:35 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","findRecordByBookingId"
"","1451","updateBooking()","","Mon Feb 23 07:18:32 UTC 2026","passed","Mon Feb 23 07:18:34 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","updateBooking"
