"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1669","bookingSuccessfullyRemoved()","","Mon Feb 23 07:19:28 UTC 2026","passed","Mon Feb 23 07:19:30 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","bookingSuccessfullyRemoved"
"","1051","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:19:36 UTC 2026","passed","Mon Feb 23 07:19:37 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1375","removeBookingWithoutToken()","","Mon Feb 23 07:19:44 UTC 2026","passed","Mon Feb 23 07:19:45 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","removeBookingWithoutToken"
"","697","verifyBookingCreated()","","Mon Feb 23 07:19:34 UTC 2026","passed","Mon Feb 23 07:19:35 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","verifyBookingCreated"
"","1405","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken()","","Mon Feb 23 07:19:41 UTC 2026","passed","Mon Feb 23 07:19:43 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken"
"","362","updateBookingNonExistingId()","","Mon Feb 23 07:19:45 UTC 2026","passed","Mon Feb 23 07:19:45 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingNonExistingId"
"","1045","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:19:35 UTC 2026","passed","Mon Feb 23 07:19:36 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1413","updateBooking()","","Mon Feb 23 07:19:30 UTC 2026","passed","Mon Feb 23 07:19:31 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","updateBooking"
"","1443","partiallyUpdateBooking()","","Mon Feb 23 07:19:32 UTC 2026","passed","Mon Feb 23 07:19:34 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","partiallyUpdateBooking"
"","1069","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:19:38 UTC 2026","passed","Mon Feb 23 07:19:39 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","1105","findRecordByBookingId()","","Mon Feb 23 07:19:31 UTC 2026","passed","Mon Feb 23 07:19:32 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","findRecordByBookingId"
"","1034","updateBookingWithoutToken()","","Mon Feb 23 07:19:39 UTC 2026","passed","Mon Feb 23 07:19:40 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithoutToken"
"","1043","updateBookingWithMissingMandatoryFields()","","Mon Feb 23 07:19:40 UTC 2026","passed","Mon Feb 23 07:19:41 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithMissingMandatoryFields"
"","1056","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:19:37 UTC 2026","passed","Mon Feb 23 07:19:38 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","0","createBookingWithMissingFields()","","Mon Feb 23 07:19:40 UTC 2026","skipped","Mon Feb 23 07:19:40 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","createBookingWithMissingFields"
"","1047","updateBookingWithNullMandatoryFields()","","Mon Feb 23 07:19:43 UTC 2026","passed","Mon Feb 23 07:19:44 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithNullMandatoryFields"
