"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","171","findRecordByBookingId()","","Mon Feb 23 07:40:51 UTC 2026","passed","Mon Feb 23 07:40:51 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","findRecordByBookingId"
"","57","updateBookingNonExistingId()","","Mon Feb 23 07:40:53 UTC 2026","passed","Mon Feb 23 07:40:53 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingNonExistingId"
"","517","bookingSuccessfullyRemoved()","","Mon Feb 23 07:40:50 UTC 2026","passed","Mon Feb 23 07:40:50 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","bookingSuccessfullyRemoved"
"","147","updateBookingWithMissingMandatoryFields()","","Mon Feb 23 07:40:52 UTC 2026","passed","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithMissingMandatoryFields"
"","171","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:40:51 UTC 2026","passed","Mon Feb 23 07:40:51 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","247","updateBooking()","","Mon Feb 23 07:40:50 UTC 2026","passed","Mon Feb 23 07:40:51 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","updateBooking"
"","128","verifyBookingCreated()","","Mon Feb 23 07:40:51 UTC 2026","passed","Mon Feb 23 07:40:51 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","verifyBookingCreated"
"","151","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:40:52 UTC 2026","passed","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","203","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken()","","Mon Feb 23 07:40:52 UTC 2026","passed","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","dataHasNotBeenChangedAfterUpdateBookingWithInvalidToken"
"","186","removeBookingWithoutToken()","","Mon Feb 23 07:40:53 UTC 2026","passed","Mon Feb 23 07:40:53 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","removeBookingWithoutToken"
"","162","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:40:51 UTC 2026","passed","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
"","156","updateBookingWithoutToken()","","Mon Feb 23 07:40:52 UTC 2026","passed","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithoutToken"
"","141","updateBookingWithNullMandatoryFields()","","Mon Feb 23 07:40:52 UTC 2026","passed","Mon Feb 23 07:40:53 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithNullMandatoryFields"
"","0","createBookingWithMissingFields()","","Mon Feb 23 07:40:52 UTC 2026","skipped","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","createBookingWithMissingFields"
"","236","partiallyUpdateBooking()","","Mon Feb 23 07:40:51 UTC 2026","passed","Mon Feb 23 07:40:51 UTC 2026","","tests.BookingApiTests","tests.BookingApiTests","partiallyUpdateBooking"
"","164","updateBookingWithInvalidToken(String) update booking with invalid tokens should return 403","","Mon Feb 23 07:40:52 UTC 2026","passed","Mon Feb 23 07:40:52 UTC 2026","","tests.BookingValidationTests","tests.BookingValidationTests","updateBookingWithInvalidToken"
